name,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Jonathon Simmons,6-6,195lb,1989-09-14,-1,-1,-1,True
Alex Stepheson,6-10,270lb,1987-08-07,-1,-1,-1,True
Edy Tavares,7-3,260lb,1992-03-22,2nd,43rd,2014,False
Axel Toupane,6-7,197lb,1992-07-23,-1,-1,-1,True
Karl-Anthony Towns,6-11,248lb,1995-11-15,1st,1st,2015,False
Myles Turner,6-11,250lb,1996-03-24,1st,11th,2015,False
Rashad Vaughn,6-6,202lb,1996-08-16,1st,17th,2015,False
Briante Weber,6-2,165lb,1992-12-29,-1,-1,-1,True
Sonny Weems,6-6,205lb,1986-07-08,2nd,39th,2008,False
Alan Williams,6-8,265lb,1993-01-28,-1,-1,-1,True
Justise Winslow,6-6,222lb,1996-03-26,1st,10th,2015,False
Christian Wood,6-10,214lb,1995-09-27,-1,-1,-1,True
Delon Wright,6-5,185lb,1992-04-26,1st,20th,2015,False
Joe Young,6-2,180lb,1992-06-27,2nd,43rd,2015,False
Álex Abrines,6-6,200lb,1993-08-01,2nd,32nd,2013,False
Ron Baker,6-4,220lb,1993-03-30,-1,-1,-1,True
Wade Baldwin,6-4,200lb,1996-03-29,1st,17th,2016,False
Malik Beasley,6-4,187lb,1996-11-26,1st,19th,2016,False
DeAndre' Bembry,6-5,210lb,1994-07-04,1st,21st,2016,False
Dragan Bender,7-0,225lb,1997-11-17,1st,4th,2016,False
Ben Bentil,6-9,235lb,1995-03-29,2nd,51st,2016,False
Dāvis Bertāns,6-10,225lb,1992-11-12,2nd,42nd,2011,False
Joel Bolomboy,6-9,235lb,1994-01-28,2nd,52nd,2016,False
Malcolm Brogdon,6-5,229lb,1992-12-11,2nd,36th,2016,False
Bobby Brown,6-2,175lb,1984-09-24,-1,-1,-1,True
Jaylen Brown,6-6,223lb,1996-10-24,1st,3rd,2016,False
Nicolás Brussino,6-7,195lb,1993-03-02,-1,-1,-1,True
Marquese Chriss,6-9,240lb,1997-07-02,1st,8th,2016,False
Semaj Christon,6-3,190lb,1992-11-01,2nd,55th,2014,False
Quinn Cook,6-1,180lb,1993-03-23,-1,-1,-1,True
Deyonta Davis,6-11,237lb,1996-12-02,2nd,31st,2016,False
Malcolm Delaney,6-3,190lb,1989-03-11,-1,-1,-1,True
Cheick Diallo,6-8,219lb,1996-09-13,2nd,33rd,2016,False
Kris Dunn,6-3,205lb,1994-03-18,1st,5th,2016,False
Henry Ellenson,6-10,240lb,1997-01-13,1st,18th,2016,False
Joel Embiid,7-0,280lb,1994-03-16,1st,3rd,2014,False
Kay Felder,5-9,176lb,1995-03-29,2nd,54th,2016,False
Yogi Ferrell,6-0,178lb,1993-05-09,-1,-1,-1,True
Dorian Finney-Smith,6-7,220lb,1993-05-04,-1,-1,-1,True
Bryn Forbes,6-2,205lb,1993-07-23,-1,-1,-1,True
Patricio Garino,6-6,210lb,1993-05-17,-1,-1,-1,True
Michael Gbinije,6-7,200lb,1992-06-05,2nd,49th,2016,False
Marcus Georges-Hunt,6-5,216lb,1994-03-28,-1,-1,-1,True
Jonathan Gibson,6-2,185lb,1987-11-08,-1,-1,-1,True
Treveon Graham,6-5,219lb,1993-10-28,-1,-1,-1,True
A.J. Hammons,7-0,260lb,1992-08-27,2nd,46th,2016,False
Andrew Harrison,6-6,213lb,1994-10-28,2nd,44th,2015,False
Juancho Hernangómez,6-9,214lb,1995-09-28,1st,15th,2016,False
Willy Hernangómez,6-11,250lb,1994-05-27,2nd,35th,2015,False
Buddy Hield,6-4,220lb,1992-12-17,1st,6th,2016,False
Danuel House Jr.,6-6,220lb,1993-06-07,-1,-1,-1,True
Brandon Ingram,6-8,190lb,1997-09-02,1st,2nd,2016,False
Demetrius Jackson,6-1,201lb,1994-09-07,2nd,45th,2016,False
Pierre Jackson,5-10,180lb,1991-08-29,2nd,42nd,2013,False
Brice Johnson,6-10,230lb,1994-06-27,1st,25th,2016,False
Damian Jones,6-11,245lb,1995-06-30,1st,30th,2016,False
Derrick Jones Jr.,6-5,210lb,1997-02-15,-1,-1,-1,True
Mindaugas Kuzminskas,6-9,215lb,1989-10-19,-1,-1,-1,True
Skal Labissière,6-10,235lb,1996-03-18,1st,28th,2016,False
Nicolás Laprovíttola,6-4,180lb,1990-01-31,-1,-1,-1,True
Jake Layman,6-8,209lb,1994-03-07,2nd,47th,2016,False
Caris LeVert,6-6,205lb,1994-08-25,1st,20th,2016,False
Shawn Long,6-9,255lb,1993-01-29,-1,-1,-1,True
Timothé Luwawu-Cabarrot,6-7,220lb,1995-05-09,1st,24th,2016,False
Sheldon Mac,6-5,200lb,1992-12-21,-1,-1,-1,True
Thon Maker,7-0,221lb,1997-02-25,1st,10th,2016,False
Patrick McCaw,6-7,181lb,1995-10-25,2nd,38th,2016,False
Rodney McGruder,6-4,205lb,1991-07-29,-1,-1,-1,True
Dejounte Murray,6-4,180lb,1996-09-19,1st,29th,2016,False
Jamal Murray,6-3,215lb,1997-02-23,1st,7th,2016,False
Maurice Ndour,6-9,200lb,1992-06-18,-1,-1,-1,True
Georges Niang,6-7,230lb,1993-06-17,2nd,50th,2016,False
David Nwaba,6-5,219lb,1993-01-14,-1,-1,-1,True
Daniel Ochefu,6-11,245lb,1993-12-15,-1,-1,-1,True
Chinanu Onuaku,6-10,245lb,1996-11-01,2nd,37th,2016,False
Georgios Papagiannis,7-1,240lb,1997-07-03,1st,13th,2016,False
Gary Payton II,6-3,190lb,1992-12-01,-1,-1,-1,True
Marshall Plumlee,7-0,250lb,1992-07-14,-1,-1,-1,True
Jakob Poeltl,7-1,245lb,1995-10-15,1st,9th,2016,False
Alex Poythress,6-9,235lb,1993-09-06,-1,-1,-1,True
Taurean Prince,6-7,218lb,1994-03-22,1st,12th,2016,False
Tim Quarterman,6-6,195lb,1994-10-27,-1,-1,-1,True
Chasson Randle,6-2,185lb,1993-02-05,-1,-1,-1,True
Malachi Richardson,6-6,205lb,1996-01-05,1st,22nd,2016,False
Sergio Rodríguez,6-3,176lb,1986-06-12,1st,27th,2006,False
Domantas Sabonis,6-11,240lb,1996-05-03,1st,11th,2016,False
Dario Šarić,6-10,225lb,1994-04-08,1st,12th,2014,False
Tomáš Satoranský,6-7,210lb,1991-10-30,2nd,32nd,2012,False
Wayne Selden,6-5,230lb,1994-09-30,-1,-1,-1,True
Pascal Siakam,6-9,230lb,1994-04-02,1st,27th,2016,False
Diamond Stone,6-11,255lb,1997-02-10,2nd,40th,2016,False
Isaiah Taylor,6-3,170lb,1994-07-11,-1,-1,-1,True
Mike Tobey,7-0,260lb,1994-10-10,-1,-1,-1,True
Tyler Ulis,5-10,160lb,1996-01-05,2nd,34th,2016,False
Jarrod Uthoff,6-9,221lb,1993-05-19,-1,-1,-1,True
Denzel Valentine,6-4,220lb,1993-11-16,1st,14th,2016,False
Fred VanVleet,6-1,197lb,1994-02-25,-1,-1,-1,True
Okaro White,6-8,205lb,1992-08-13,-1,-1,-1,True
Isaiah Whitehead,6-4,213lb,1995-03-08,2nd,42nd,2016,False
Troy Williams,6-7,218lb,1994-12-30,-1,-1,-1,True
Kyle Wiltjer,6-10,240lb,1992-10-20,-1,-1,-1,True
Stephen Zimmerman,7-0,240lb,1996-09-09,2nd,41st,2016,False
Paul Zipser,6-8,215lb,1994-02-18,2nd,48th,2016,False
Ivica Zubac,7-0,240lb,1997-03-18,2nd,32nd,2016,False
Bam Adebayo,6-9,255lb,1997-07-18,1st,14th,2017,False
Jarrett Allen,6-11,243lb,1998-04-21,1st,22nd,2017,False
Kadeem Allen,6-1,200lb,1993-01-15,2nd,53rd,2017,False
Ike Anigbogu,6-10,250lb,1998-10-17,2nd,47th,2017,False
OG Anunoby,6-7,232lb,1997-07-17,1st,23rd,2017,False
Ryan Arcidiacono,6-3,195lb,1994-03-26,-1,-1,-1,True
Jamel Artis,6-7,213lb,1993-01-12,-1,-1,-1,True
Dwayne Bacon,6-6,221lb,1995-08-30,2nd,40th,2017,False
Lonzo Ball,6-6,190lb,1997-10-27,1st,2nd,2017,False
Jordan Bell,6-8,216lb,1995-01-07,2nd,38th,2017,False
Khem Birch,6-9,233lb,1992-09-28,-1,-1,-1,True
Jabari Bird,6-6,198lb,1994-07-03,2nd,56th,2017,False
Antonio Blakeney,6-4,192lb,1996-10-04,-1,-1,-1,True
Bogdan Bogdanović,6-6,220lb,1992-08-18,1st,27th,2014,False
Chris Boucher,6-9,200lb,1993-01-11,-1,-1,-1,True
Tony Bradley,6-10,248lb,1998-01-08,1st,28th,2017,False
Dillon Brooks,6-7,225lb,1996-01-22,2nd,45th,2017,False
Sterling Brown,6-5,219lb,1995-02-10,2nd,46th,2017,False
Thomas Bryant,6-10,248lb,1997-07-31,2nd,42nd,2017,False
Alex Caruso,6-4,186lb,1994-02-28,-1,-1,-1,True
Tyler Cavanaugh,6-9,238lb,1994-02-09,-1,-1,-1,True
Gian Clavell,6-4,185lb,1993-11-26,-1,-1,-1,True
Antonius Cleveland,6-5,195lb,1994-02-02,-1,-1,-1,True
John Collins,6-9,235lb,1997-09-23,1st,19th,2017,False
Zach Collins,6-11,250lb,1997-11-19,1st,10th,2017,False
Kyle Collinsworth,6-6,210lb,1991-10-03,-1,-1,-1,True
Charles Cooke,6-5,196lb,1994-07-01,-1,-1,-1,True
Matt Costello,6-9,245lb,1993-08-05,-1,-1,-1,True
Torrey Craig,6-7,221lb,1990-12-19,-1,-1,-1,True
Tyler Dorsey,6-5,183lb,1996-02-18,2nd,41st,2017,False
Damyean Dotson,6-5,210lb,1994-05-06,2nd,44th,2017,False
Milton Doyle,6-4,185lb,1993-10-31,-1,-1,-1,True
PJ Dozier,6-6,205lb,1996-10-25,-1,-1,-1,True
Jawun Evans,6-0,185lb,1996-07-26,2nd,39th,2017,False
Terrance Ferguson,6-6,190lb,1998-05-17,1st,21st,2017,False
De'Aaron Fox,6-3,185lb,1997-12-20,1st,5th,2017,False
Markelle Fultz,6-3,209lb,1998-05-29,1st,1st,2017,False
Josh Gray,6-0,180lb,1993-09-09,-1,-1,-1,True
Daniel Hamilton,6-7,195lb,1995-08-08,2nd,56th,2016,False
Shaquille Harrison,6-7,190lb,1993-10-06,-1,-1,-1,True
Josh Hart,6-5,215lb,1995-03-06,1st,30th,2017,False
Nigel Hayes,6-8,254lb,1994-12-16,-1,-1,-1,True
Reggie Hearn,6-5,210lb,1991-08-14,-1,-1,-1,True
Myke Henry,6-6,210lb,1992-12-23,-1,-1,-1,True
Isaiah Hicks,6-9,230lb,1994-07-24,-1,-1,-1,True
John Holland,6-5,205lb,1988-11-06,-1,-1,-1,True
Vince Hunter,6-8,208lb,1994-08-05,-1,-1,-1,True
Andre Ingram,6-3,190lb,1985-11-19,-1,-1,-1,True
Jonathan Isaac,6-11,230lb,1997-10-03,1st,6th,2017,False
Wes Iwundu,6-6,195lb,1994-12-20,2nd,33rd,2017,False
Aaron Jackson,6-4,185lb,1986-05-06,-1,-1,-1,True
Josh Jackson,6-8,207lb,1997-02-10,1st,4th,2017,False
Justin Jackson,6-8,220lb,1995-03-28,1st,15th,2017,False
Dakari Johnson,7-0,255lb,1995-09-22,2nd,48th,2015,False
Omari Johnson,6-9,220lb,1989-11-26,-1,-1,-1,True
Jalen Jones,6-7,220lb,1993-05-27,-1,-1,-1,True
Luke Kennard,6-5,206lb,1996-06-24,1st,12th,2017,False
Maxi Kleber,6-10,240lb,1992-01-29,-1,-1,-1,True
Furkan Korkmaz,6-7,202lb,1997-07-24,1st,26th,2016,False
Luke Kornet,7-2,250lb,1995-07-15,-1,-1,-1,True
Kyle Kuzma,6-9,221lb,1995-07-24,1st,27th,2017,False
T.J. Leaf,6-10,222lb,1997-04-30,1st,18th,2017,False
Damion Lee,6-5,210lb,1992-10-21,-1,-1,-1,True
Walt Lemon Jr.,6-3,180lb,1992-07-26,-1,-1,-1,True
Tyler Lydon,6-10,225lb,1996-04-09,1st,24th,2017,False
Josh Magette,6-1,160lb,1989-11-28,-1,-1,-1,True
Lauri Markkanen,7-0,240lb,1997-05-22,1st,7th,2017,False
Frank Mason III,5-11,190lb,1994-04-03,2nd,34th,2017,False
Mangok Mathiang,6-10,230lb,1992-10-08,-1,-1,-1,True
Erik McCree,6-7,219lb,1993-12-20,-1,-1,-1,True
Trey McKinney-Jones,6-5,214lb,1990-08-27,-1,-1,-1,True
Alfonzo McKinnie,6-7,215lb,1992-09-17,-1,-1,-1,True
Malcolm Miller,6-7,210lb,1993-03-06,-1,-1,-1,True
Donovan Mitchell,6-1,215lb,1996-09-07,1st,13th,2017,False
Naz Mitrou-Long,6-3,218lb,1993-08-03,-1,-1,-1,True
Malik Monk,6-3,200lb,1998-02-04,1st,11th,2017,False
Ben Moore,6-8,220lb,1995-05-13,-1,-1,-1,True
Jaylen Morris,6-5,185lb,1995-09-19,-1,-1,-1,True
Monte Morris,6-2,183lb,1995-06-27,2nd,51st,2017,False
Johnathan Motley,6-8,230lb,1995-05-04,-1,-1,-1,True
Abdel Nader,6-5,225lb,1993-09-25,2nd,58th,2016,False
Frank Ntilikina,6-4,200lb,1998-07-28,1st,8th,2017,False
Royce O'Neale,6-4,226lb,1993-06-05,-1,-1,-1,True
Semi Ojeleye,6-6,240lb,1994-12-05,2nd,37th,2017,False
Cedi Osman,6-7,230lb,1995-04-08,2nd,31st,2015,False
Marcus Paige,6-1,175lb,1993-09-11,2nd,55th,2016,False
Justin Patton,6-11,241lb,1997-06-14,1st,16th,2017,False
Brandon Paul,6-4,200lb,1991-04-30,-1,-1,-1,True
London Perrantes,6-2,200lb,1994-10-03,-1,-1,-1,True
Alec Peters,6-9,232lb,1995-04-13,2nd,54th,2017,False
Jacob Pullen,6-1,200lb,1989-11-10,-1,-1,-1,True
Rodney Purvis,6-4,205lb,1994-02-14,-1,-1,-1,True
Zhou Qi,7-1,210lb,1996-01-16,2nd,43rd,2016,False
Ivan Rabb,6-10,220lb,1997-02-04,2nd,35th,2017,False
Xavier Rathan-Mayes,6-4,208lb,1994-04-29,-1,-1,-1,True
Davon Reed,6-5,208lb,1995-06-11,2nd,32nd,2017,False
Devin Robinson,6-8,200lb,1995-03-07,-1,-1,-1,True
Ben Simmons,6-11,240lb,1996-07-20,1st,1st,2016,False
Kobi Simmons,6-5,166lb,1997-07-04,-1,-1,-1,True
Dennis Smith Jr.,6-2,205lb,1997-11-25,1st,9th,2017,False
Edmond Sumner,6-4,196lb,1995-12-31,2nd,52nd,2017,False
Caleb Swanigan,6-9,260lb,1997-04-18,1st,26th,2017,False
Jayson Tatum,6-8,210lb,1998-03-03,1st,3rd,2017,False
Miloš Teodosić,6-5,196lb,1987-03-19,-1,-1,-1,True
Daniel Theis,6-8,245lb,1992-04-04,-1,-1,-1,True
Sindarius Thornwell,6-4,215lb,1994-11-15,2nd,48th,2017,False
Tyrone Wallace,6-5,198lb,1994-06-10,2nd,60th,2016,False
Derrick Walton,6-0,189lb,1995-04-03,-1,-1,-1,True
Jameel Warney,6-8,260lb,1994-01-31,-1,-1,-1,True
James Webb III,6-9,202lb,1993-08-19,-1,-1,-1,True
Andrew White,6-7,210lb,1993-06-16,-1,-1,-1,True
Derrick White,6-4,190lb,1994-07-02,1st,29th,2017,False
Jacob Wiley,6-7,215lb,1994-09-04,-1,-1,-1,True
C.J. Williams,6-5,226lb,1990-02-06,-1,-1,-1,True
Matt Williams,6-5,210lb,1993-10-14,-1,-1,-1,True
D.J. Wilson,6-10,231lb,1996-02-19,1st,17th,2017,False
Jamil Wilson,6-7,230lb,1990-11-21,-1,-1,-1,True
Guerschon Yabusele,6-8,260lb,1995-12-17,1st,16th,2016,False
Ante Žižić,6-10,266lb,1997-01-04,1st,23rd,2016,False
Jaylen Adams,6-0,225lb,1996-05-04,-1,-1,-1,True
Deng Adel,6-7,200lb,1997-02-01,-1,-1,-1,True
DeVaughn Akoon-Purcell,6-6,200lb,1993-06-05,-1,-1,-1,True
Rawle Alkins,6-5,225lb,1997-10-29,-1,-1,-1,True
Grayson Allen,6-4,198lb,1995-10-08,1st,21st,2018,False
Kostas Antetokounmpo,6-10,200lb,1997-11-20,2nd,60th,2018,False
Deandre Ayton,6-11,250lb,1998-07-23,1st,1st,2018,False
Marvin Bagley III,6-11,235lb,1999-03-14,1st,2nd,2018,False
Mo Bamba,7-0,231lb,1998-05-12,1st,6th,2018,False
Keita Bates-Diop,6-8,229lb,1996-01-23,2nd,48th,2018,False
Dairis Bertāns,6-4,200lb,1989-09-09,-1,-1,-1,True
Jaron Blossomgame,6-8,220lb,1993-09-16,2nd,59th,2017,False
Jonah Bolden,6-8,220lb,1996-01-02,2nd,36th,2017,False
Isaac Bonga,6-8,180lb,1999-11-08,2nd,39th,2018,False
Mikal Bridges,6-6,209lb,1996-08-30,1st,10th,2018,False
Miles Bridges,6-6,225lb,1998-03-21,1st,12th,2018,False
Isaiah Briscoe,6-3,215lb,1996-04-13,-1,-1,-1,True
Ryan Broekhoff,6-6,215lb,1990-08-23,-1,-1,-1,True
Bruce Brown,6-4,202lb,1996-08-15,2nd,42nd,2018,False
Troy Brown Jr.,6-6,215lb,1999-07-28,1st,15th,2018,False
Jalen Brunson,6-1,190lb,1996-08-31,2nd,33rd,2018,False
Deonte Burton,6-4,240lb,1994-01-31,-1,-1,-1,True
Jevon Carter,6-1,200lb,1995-09-14,2nd,32nd,2018,False
Wendell Carter Jr.,6-10,270lb,1999-04-16,1st,7th,2018,False
Troy Caupain,6-4,210lb,1995-11-29,-1,-1,-1,True
Joe Chealey,6-3,190lb,1995-11-01,-1,-1,-1,True
Chris Chiozza,5-11,175lb,1995-11-21,-1,-1,-1,True
Gary Clark,6-6,225lb,1994-11-16,-1,-1,-1,True
Bonzie Colson,6-6,224lb,1996-01-12,-1,-1,-1,True
Mitch Creek,6-5,216lb,1992-04-27,-1,-1,-1,True
Tyler Davis,6-10,266lb,1997-05-22,-1,-1,-1,True
Ángel Delgado,6-10,245lb,1994-11-20,-1,-1,-1,True
Marcus Derrickson,6-7,249lb,1996-02-01,-1,-1,-1,True
Hamidou Diallo,6-5,202lb,1998-07-31,2nd,45th,2018,False
Donte DiVincenzo,6-4,203lb,1997-01-31,1st,17th,2018,False
Luka Dončić,6-7,230lb,1999-02-28,1st,3rd,2018,False
Trevon Duval,6-2,189lb,1998-08-03,-1,-1,-1,True
Vince Edwards,6-8,225lb,1996-04-05,2nd,52nd,2018,False
Drew Eubanks,6-9,245lb,1997-02-01,-1,-1,-1,True
Jacob Evans,6-4,210lb,1997-06-18,1st,28th,2018,False
Melvin Frazier,6-5,215lb,1996-08-30,2nd,35th,2018,False
Billy Garrett,6-6,213lb,1994-10-16,-1,-1,-1,True
Harry Giles,6-11,240lb,1998-04-22,1st,20th,2017,False
Shai Gilgeous-Alexander,6-6,180lb,1998-07-12,1st,11th,2018,False
Brandon Goodwin,6-0,180lb,1995-10-02,-1,-1,-1,True
Devonte' Graham,6-1,195lb,1995-02-22,2nd,34th,2018,False
Donte Grantham,6-8,215lb,1995-03-19,-1,-1,-1,True
Dusty Hannahs,6-3,210lb,1993-09-02,-1,-1,-1,True
Isaiah Hartenstein,7-0,250lb,1998-05-05,2nd,43rd,2017,False
Haywood Highsmith,6-7,220lb,1996-12-09,-1,-1,-1,True
Aaron Holiday,6-0,185lb,1996-09-30,1st,23rd,2018,False
Kevin Huerter,6-7,190lb,1998-08-27,1st,19th,2018,False
Isaac Humphries,7-0,255lb,1998-01-05,-1,-1,-1,True
Chandler Hutchison,6-6,210lb,1996-04-26,1st,22nd,2018,False
Frank Jackson,6-3,205lb,1998-05-04,2nd,31st,2017,False
Jaren Jackson Jr.,6-11,242lb,1999-09-15,1st,4th,2018,False
Amile Jefferson,6-9,222lb,1993-05-07,-1,-1,-1,True
Alize Johnson,6-7,212lb,1996-04-22,2nd,50th,2018,False
B.J. Johnson,6-7,200lb,1995-12-21,-1,-1,-1,True
Jemerrio Jones,6-5,174lb,1995-04-09,-1,-1,-1,True
George King,6-6,225lb,1994-01-15,2nd,59th,2018,False
Kevin Knox,6-7,215lb,1999-08-11,1st,9th,2018,False
Rodions Kurucs,6-9,228lb,1998-02-05,2nd,40th,2018,False
Zach Lofton,6-4,180lb,1992-11-18,-1,-1,-1,True
Jordan Loyd,6-4,210lb,1993-07-27,-1,-1,-1,True
Daryl Macon,6-2,185lb,1995-11-29,-1,-1,-1,True
J.P. Macura,6-5,203lb,1995-06-05,-1,-1,-1,True
Yante Maten,6-8,240lb,1996-08-14,-1,-1,-1,True
Tahjere McCall,6-5,195lb,1994-08-17,-1,-1,-1,True
De'Anthony Melton,6-2,200lb,1998-05-28,2nd,46th,2018,False
Chimezie Metu,6-9,225lb,1997-03-22,2nd,49th,2018,False
Shake Milton,6-5,205lb,1996-09-26,2nd,54th,2018,False
Džanan Musa,6-9,217lb,1999-05-08,1st,29th,2018,False
Svi Mykhailiuk,6-7,205lb,1997-06-10,2nd,47th,2018,False
Elie Okobo,6-3,190lb,1997-10-23,2nd,31st,2018,False
Josh Okogie,6-4,213lb,1998-09-01,1st,20th,2018,False
Theo Pinson,6-5,212lb,1995-11-05,-1,-1,-1,True
Cameron Reynolds,6-7,225lb,1995-02-07,-1,-1,-1,True
Duncan Robinson,6-7,215lb,1994-04-22,-1,-1,-1,True
Jerome Robinson,6-4,190lb,1997-02-22,1st,13th,2018,False
Mitchell Robinson,7-0,240lb,1998-04-01,2nd,36th,2018,False
Brandon Sampson,6-5,184lb,1997-05-01,-1,-1,-1,True
Collin Sexton,6-1,190lb,1999-01-04,1st,8th,2018,False
Landry Shamet,6-4,190lb,1997-03-13,1st,26th,2018,False
Jordan Sibert,6-4,187lb,1992-08-01,-1,-1,-1,True
Anfernee Simons,6-3,181lb,1999-06-08,1st,24th,2018,False
Zhaire Smith,6-3,205lb,1999-06-04,1st,16th,2018,False
Ray Spalding,6-10,215lb,1997-03-11,2nd,56th,2018,False
Omari Spellman,6-8,245lb,1997-07-21,1st,30th,2018,False
Jared Terrell,6-3,227lb,1995-02-10,-1,-1,-1,True
Emanuel Terry,6-9,220lb,1996-08-21,-1,-1,-1,True
Khyri Thomas,6-3,210lb,1996-05-08,2nd,38th,2018,False
Gary Trent Jr.,6-5,209lb,1999-01-18,2nd,37th,2018,False
Allonzo Trier,6-4,200lb,1996-01-17,-1,-1,-1,True
Jarred Vanderbilt,6-9,214lb,1999-04-03,2nd,41st,2018,False
Moritz Wagner,6-11,245lb,1997-04-26,1st,25th,2018,False
Lonnie Walker IV,6-4,204lb,1998-12-14,1st,18th,2018,False
Brad Wanamaker,6-3,210lb,1989-07-25,-1,-1,-1,True
Julian Washburn,6-8,210lb,1991-12-18,-1,-1,-1,True
Yuta Watanabe,6-9,215lb,1994-10-13,-1,-1,-1,True
Thomas Welsh,7-0,255lb,1996-02-03,2nd,58th,2018,False
Johnathan Williams,6-9,228lb,1995-05-22,-1,-1,-1,True
Kenrich Williams,6-6,210lb,1994-12-02,-1,-1,-1,True
Robert Williams,6-8,237lb,1997-10-17,1st,27th,2018,False
Trae Young,6-1,164lb,1998-09-19,1st,5th,2018,False
Kyle Alexander,6-11,220lb,1996-10-21,-1,-1,-1,True
Nickeil Alexander-Walker,6-6,205lb,1998-09-02,1st,17th,2019,False
RJ Barrett,6-6,214lb,2000-06-14,1st,3rd,2019,False
Darius Bazley,6-8,208lb,2000-06-12,1st,23rd,2019,False
Goga Bitadze,6-11,250lb,1999-07-20,1st,18th,2019,False
Bol Bol,7-2,220lb,1999-11-16,2nd,44th,2019,False
Marques Bolden,6-10,249lb,1998-04-17,-1,-1,-1,True
Jordan Bone,6-2,180lb,1997-11-05,2nd,57th,2019,False
Brian Bowen,6-6,190lb,1998-10-02,-1,-1,-1,True
Ky Bowman,6-1,187lb,1997-06-16,-1,-1,-1,True
Jarrell Brantley,6-5,250lb,1996-06-07,2nd,50th,2019,False
Ignas Brazdeikis,6-6,221lb,1999-01-08,2nd,47th,2019,False
Oshae Brissett,6-7,210lb,1998-06-20,-1,-1,-1,True
Charlie Brown Jr.,6-6,199lb,1997-02-02,-1,-1,-1,True
Moses Brown,7-2,245lb,1999-10-13,-1,-1,-1,True
Devontae Cacok,6-7,240lb,1996-10-08,-1,-1,-1,True
Vlatko Čančar,6-8,236lb,1997-04-10,2nd,49th,2017,False
Zylan Cheatham,6-5,220lb,1995-11-17,-1,-1,-1,True
Brandon Clarke,6-8,215lb,1996-09-19,1st,21st,2019,False
Nic Claxton,6-11,215lb,1999-04-17,2nd,31st,2019,False
Chris Clemons,5-9,180lb,1997-07-23,-1,-1,-1,True
Amir Coffey,6-7,210lb,1997-06-17,-1,-1,-1,True
Tyler Cook,6-8,255lb,1997-09-23,-1,-1,-1,True
Jarrett Culver,6-6,195lb,1999-02-20,1st,6th,2019,False
Terence Davis,6-4,201lb,1997-05-16,-1,-1,-1,True
Luguentz Dort,6-3,215lb,1999-04-19,-1,-1,-1,True
Sekou Doumbouya,6-8,230lb,2000-12-23,1st,15th,2019,False
Carsen Edwards,5-11,200lb,1998-03-12,2nd,33rd,2019,False
Tacko Fall,7-6,311lb,1995-12-10,-1,-1,-1,True
Bruno Fernando,6-9,240lb,1998-08-15,2nd,34th,2019,False
Michael Frazier,6-3,200lb,1994-03-08,-1,-1,-1,True
Wenyen Gabriel,6-9,205lb,1997-03-26,-1,-1,-1,True
Daniel Gafford,6-10,234lb,1998-10-01,2nd,38th,2019,False
Darius Garland,6-1,192lb,2000-01-26,1st,5th,2019,False
Javonte Green,6-4,205lb,1993-07-23,-1,-1,-1,True
Marko Guduric,6-6,201lb,1995-03-08,-1,-1,-1,True
Kyle Guy,6-1,167lb,1997-08-11,2nd,55th,2019,False
Rui Hachimura,6-8,230lb,1998-02-08,1st,9th,2019,False
Devon Hall,6-2,215lb,1995-07-07,2nd,53rd,2018,False
Donta Hall,6-9,232lb,1997-08-07,-1,-1,-1,True
Jared Harper,5-10,175lb,1997-09-14,-1,-1,-1,True
Jaxson Hayes,6-11,220lb,2000-05-23,1st,8th,2019,False
Dewan Hernandez,6-10,235lb,1996-12-09,2nd,59th,2019,False
Tyler Herro,6-5,195lb,2000-01-20,1st,13th,2019,False
Kevin Hervey,6-9,230lb,1996-07-09,2nd,57th,2018,False
Jaylen Hoard,6-8,216lb,1999-03-30,-1,-1,-1,True
Talen Horton-Tucker,6-4,234lb,2000-11-25,2nd,46th,2019,False
William Howard,6-8,207lb,1993-10-25,-1,-1,-1,True
De'Andre Hunter,6-8,225lb,1997-12-02,1st,4th,2019,False
Justin James,6-7,190lb,1997-01-24,2nd,40th,2019,False
DaQuan Jeffries,6-5,230lb,1997-08-30,-1,-1,-1,True
Ty Jerome,6-5,195lb,1997-07-08,1st,24th,2019,False
Cameron Johnson,6-8,210lb,1996-03-03,1st,11th,2019,False
Keldon Johnson,6-5,220lb,1999-10-11,1st,29th,2019,False
Mfiondu Kabengele,6-9,250lb,1997-08-14,1st,27th,2019,False
Stanton Kidd,6-6,215lb,1992-03-18,-1,-1,-1,True
Louis King,6-7,205lb,1999-04-06,-1,-1,-1,True
John Konchar,6-5,210lb,1996-03-22,-1,-1,-1,True
Romeo Langford,6-4,216lb,1999-10-25,1st,14th,2019,False
Vic Law,6-7,200lb,1995-12-19,-1,-1,-1,True
Jalen Lecque,6-4,185lb,2000-06-13,-1,-1,-1,True
Nassir Little,6-5,220lb,2000-02-11,1st,25th,2019,False
Terance Mann,6-5,215lb,1996-10-18,2nd,48th,2019,False
Caleb Martin,6-5,205lb,1995-09-28,-1,-1,-1,True
Cody Martin,6-5,205lb,1995-09-28,2nd,36th,2019,False
Jeremiah Martin,6-3,185lb,1996-06-19,-1,-1,-1,True
Kelan Martin,6-5,230lb,1995-08-03,-1,-1,-1,True
Garrison Mathews,6-5,215lb,1996-10-24,-1,-1,-1,True
